country,iso3,region,surface_area_sq_km_2023,gdp_2020_usd_billion,gdp_2021_usd_billion,gdp_2022_usd_billion,gdp_2023_usd_billion,population_2020,population_2021,population_2022,population_2023,major_exports,major_industries
Australia,AUS,East Asia & Pacific,7741220,1330.9,1553,1692.96,1723.83,25649248,25685412,26014399,26451000,Iron ore; coal; natural gas; gold; education; tourism,Mining; services; construction; manufacturing
Brazil,BRA,Latin America & Caribbean,8510420,1476.11,1649.62,1920.1,2173.67,208660842,209550294,210306415,211140729,Soybeans; crude petroleum; iron ore; sugar; poultry,Agriculture; mining; manufacturing; services
Canada,CAN,North America,15634410,1655.69,2007.47,2161.48,2142.47,38007166,38226498,38929902,40097761,Crude petroleum; cars; gold; natural gas; lumber,Energy; automotive; mining; forestry; services
China,CHN,East Asia & Pacific,9562910,14687.67,17820.46,17881.78,18270.36,1411100000,1412360000,1412175000,1410710000,Electronics; computers; machinery; textiles; steel,Manufacturing; technology; construction; services
Egypt,EGY,"Middle East, North Africa, Afghanistan & Pakistan",1001450,365.25,404.14,476.75,393.93,107465134,109262178,110990103,112716599,Petroleum products; natural gas; gold; fertilizers; textiles,Energy; agriculture; construction; tourism; manufacturing
France,FRA,Europe & Central Asia,606410,2647.93,2966.43,2796.3,3051.83,67571107,67842811,68042591,68287487,Aircraft; pharmaceuticals; vehicles; luxury goods; wine,Services; aerospace; manufacturing; agriculture; tourism
Germany,DEU,Europe & Central Asia,357680,3890.1,4278.5,4082.47,4525.7,83160871,83196078,83797985,84482267,Cars; machinery; chemicals; pharmaceuticals; electrical equipment,Automotive; engineering; chemicals; services; manufacturing
India,IND,South Asia,3287260,2671.6,3150.31,3353.47,3567.55,1396387127,1407563842,1417173173,1428627663,Refined petroleum; pharmaceuticals; diamonds; textiles; IT services,IT services; agriculture; manufacturing; construction; pharmaceuticals
Indonesia,IDN,East Asia & Pacific,1916907,1058.69,1186.51,1319.08,1371.17,274814866,278782243,282477584,286029800,Coal; palm oil; natural gas; ferroalloys; rubber,Mining; agriculture; manufacturing; services; tourism
Japan,JPN,East Asia & Pacific,377970,5054.07,5034.62,4256.41,4212.95,126261000,125681593,124997578,124516652,Cars; machinery; electronics; steel; optical instruments,Automotive; electronics; robotics; finance; manufacturing
Mexico,MEX,Latin America & Caribbean,1964375,1120.83,1315.32,1463.32,1793.8,126799054,127648148,128613117,129739759,Cars; vehicle parts; computers; electronics; crude petroleum,Automotive; electronics; manufacturing; energy; tourism
New Zealand,NZL,East Asia & Pacific,267710,212.47,251.97,245.44,253.47,5090200,5111300,5117200,5228100,Dairy; meat; wood; fruit; wine,Agriculture; food processing; tourism; services; forestry
Nigeria,NGA,Sub-Saharan Africa,923770,432.2,440.84,477.39,362.81,208327405,213401323,218541212,223804632,Crude petroleum; natural gas; fertilizers; cocoa; gold,Energy; agriculture; telecommunications; services; manufacturing
Saudi Arabia,SAU,"Middle East, North Africa, Afghanistan & Pakistan",2149690,734.27,874.16,1108.57,1067.58,30991207,31367183,32175224,33264292,Crude petroleum; refined petroleum; petrochemicals; plastics; fertilizers,Oil and gas; petrochemicals; construction; finance; tourism
Singapore,SGP,East Asia & Pacific,734,349.19,423.8,466.79,501.43,5685807,5453566,5637022,5917648,Integrated circuits; refined petroleum; machinery; pharmaceuticals; financial services,Finance; logistics; electronics; petrochemicals; biomedical sciences
South Africa,ZAF,Sub-Saharan Africa,1219090,337.62,420.89,405.87,377.78,58801927,59392255,59893885,60414495,Gold; platinum; coal; iron ore; vehicles,Mining; manufacturing; finance; agriculture; tourism
South Korea,KOR,East Asia & Pacific,100450,1644.31,1818.43,1673.92,1712.79,51836239,51744876,51628117,51712619,Integrated circuits; cars; ships; refined petroleum; electronics,Electronics; automotive; shipbuilding; chemicals; services
United Kingdom,GBR,Europe & Central Asia,243610,2704.61,3141.51,3114.04,3380.86,67081234,67026292,67791000,68350000,Machinery; cars; pharmaceuticals; financial services; aircraft,Finance; professional services; manufacturing; technology; creative industries
United States,USA,North America,9831510,21375.28,23725.65,26054.61,27811.52,331577720,332099760,334017321,336806231,Refined petroleum; aircraft; machinery; vehicles; pharmaceuticals,Technology; finance; healthcare; manufacturing; energy; agriculture
Vietnam,VNM,East Asia & Pacific,331340,346.62,366.14,413.37,433.86,98079191,98935098,99680655,100352192,Electronics; phones; computers; textiles; footwear; coffee,Electronics manufacturing; textiles; agriculture; services; tourism
